Location,Name,Date,ID
,RaidCall EMS One Fall 2013 Decider,9/30/13,1217
,European Championship 2013,10/2/13,1218
,European Championship 2013,10/2/13,1218
,RaidCall EMS One Fall 2013 Group Stage,10/1/13,1219
,SLTV ProSeries VII,10/3/13,1221
,FMR Lan Cup @ Igromir,10/4/13,1222
,MSI Beat it! 2013 Chinese Finals,10/4/13,1223
,Do Gaming League Championship 2013,10/5/13,1224
,Epsilan 11,10/5/13,1225
,ESWC 2013 Ukraine,10/6/13,1226
,Go4CS:GO Cup #64,10/6/13,1227
,Go4CS:GO Cup #64,10/6/13,1227
,MSI Beat it! 2013 Middle East Qualifier,10/7/13,1228
,MSI Beat it! 2013 Middle East Qualifier,10/7/13,1228
,ESL Pro Series Germany Winter 2013 Cup #1,10/7/13,1230
,SLTV StarSeries VII Finals,10/10/13,1231
,ESL Pro Series France XI Cup #3,10/10/13,1232
,MSI Beat it! 2013 APAC Qualifier,10/11/13,1235
,MSI Beat it! 2013 APAC Qualifier,10/11/13,1235
,Gaming.dk League by SteelSeries Season 7 Finals,10/12/13,1236
,ESWC 2013 Sweden,10/12/13,1237
,ESEA Invite Season 15 Europe,10/20/13,1238
,ESEA Invite Season 15 Europe,10/20/13,1238
,ESL Pro Series Germany Winter 2013 Cup #2,10/14/13,1239
,FACEIT Cup September 2013,10/15/13,1240
,ESEA Invite Season 15 North America,10/16/13,1242
,ESEA Invite Season 15 North America,10/16/13,1242
,ESL Pro Series France XI Cup #4,10/17/13,1243
,Go4CS:GO Cup #66,10/20/13,1244
,RaidCall EMS One Fall 2013 Finals,10/26/13,1245
,ESL Pro Series Germany Winter 2013 Cup #3,10/21/13,1246
,ESL Pro Series France XI Cup #5,10/22/13,1247
,ESL Pro Series Germany Winter 2013 Cup #4,10/28/13,1248
,ESWC 2013,10/31/13,1249
,ESWC 2013 France,10/30/13,1250
,TECHLABS Cup Minsk Rematch,10/30/13,1251
,ESWC 2013 Female,10/31/13,1252
,ESL Pro Series Germany Winter 2013 Cup #5,11/4/13,1253
,Fragbite Masters Qualifier #1,11/6/13,1254
,ESEA Intermediate Season 15 Europe,11/22/13,1255
,Fragbite Masters Qualifier #2,11/8/13,1256
,SLTV StarSeries VIII,11/8/13,1257
,SLTV StarSeries VIII,11/8/13,1257
,Belgrade Gaming Festival 2013,11/10/13,1258
,coL 10th Anniversary,11/10/13,1259
,Telkom Do Gaming Insta-Clash Cup November 2013,11/13/13,1260
,FACEIT Cup October 2013,11/13/13,1261
,Fragbite Masters Qualifier #3,11/14/13,1262
,ESL Pro Series France XI Cup #7,11/13/13,1263
,Fragbite Masters Qualifier #4,11/15/13,1264
,TECHLABS Cup 2013 Grand Final,11/16/13,1265
,Fragbite Masters 2013,12/2/13,1266
,Fragbite Masters 2013,12/2/13,1266
,DreamHack Winter 2013 FACEIT Online Qual.,11/19/13,1267
,MSI Beat it! 2013 SEA Qualifier,11/22/13,1268
,MSI Beat it! 2013 Grand Finals,11/23/13,1269
,DreamHack Winter 2013,11/28/13,1270
,ESL Pro Series Germany Winter Season 2013,11/25/13,1271
,DreamHack Winter 2013 BYOC,11/28/13,1272
,Insomnia 50,12/2/13,1273
,ESL Pro Series France XI Finals,12/9/13,1274
,SLTV ProSeries VIII,12/14/13,1275
,Gaming.dk SteelSeries Championship Invite Finals 2013,12/14/13,1276
,Svecup Grand Finals 2013,12/14/13,1277
,SLTV StarSeries VIII Finals,12/20/13,1279
,FACEIT December Championship 2013,12/19/13,1280
,EuroGamersOnline Ozone Challenge,12/24/13,1281
,EMS One Katowice Nordic Qualifier Cup #1,1/10/14,1283
,LanTrek 2014,1/11/14,1284
,EMS One Katowice CIS Qualifier Cup #1,1/12/14,1285
,EMS One Katowice Polish Qualifier Cup #1,1/12/14,1286
,ESEA Invite Season 15 Global Finals,1/18/14,1287
,EMS One Katowice German Qualifier Cup #1,1/18/14,1288
